@relation allvids*allfeats
@attribute letterfcount NUMERIC
@attribute digitfcount NUMERIC
@attribute spcharfcount NUMERIC
@attribute scenecount NUMERIC
@attribute openinglen NUMERIC
@attribute endinglen NUMERIC
@attribute stimgcount NUMERIC
@attribute isCG NUMERIC
@attribute moneyfcount NUMERIC
@attribute framewidth NUMERIC
@attribute frameheigth NUMERIC
@attribute framepersec NUMERIC
@attribute duration NUMERIC
@attribute framecount NUMERIC
@attribute blackcount NUMERIC
@attribute whitecount NUMERIC
@attribute grayscount NUMERIC
@attribute facecount NUMERIC
@attribute faceavelocx NUMERIC
@attribute faceavelocy NUMERIC
@attribute facesumarea NUMERIC
@data
22,3,1,5,0,2,0,2,1,640.0,480.0,20.0,273.0,5460.0,0,0,29,163,302,183,1389972
9,1,1,4,3,2,6,0,0,640.0,360.0,20.0,365.0,7300.0,4,0,61,236,273,126,4792681
5,0,2,1,0,0,5,0,1,560.0,314.0,30.0,66.0,1980.0,0,0,0,27,140,156,47243
1,0,0,1,1,1,0,1,0,640.0,426.0,30.0,85.0,2550.0,4,0,44,2,314,72,25337
1,0,2,2,2,1,2,0,0,640.0,360.0,30.0,162.0,4860.0,3,0,38,56,331,142,981030
4,0,0,1,1,1,2,0,0,640.0,480.0,30.0,33.0,990.0,0,0,20,18,478,262,94758
8,0,0,3,2,0,0,0,0,640.0,360.0,30.0,139.0,4170.0,3,0,36,100,317,133,2642803
1,1,0,3,0,0,2,0,0,640.0,360.0,30.0,145.0,4350.0,0,0,40,127,301,101,760880
1,0,0,1,1,1,0,1,0,640.0,480.0,30.0,187.0,5610.0,11,0,15,8,290,190,166995
6,1,0,2,0,0,0,0,0,640.0,360.0,30.0,104.0,3120.0,0,0,98,0,-1,-1,0
5,0,0,4,1,1,0,2,0,560.0,314.0,20.0,247.0,4940.0,6,0,22,229,300,126,4997876
9,1,1,2,1,2,5,0,0,560.0,420.0,30.0,761.0,22830.0,0,0,747,242,373,116,455733
3,0,0,2,1,1,0,2,0,640.0,360.0,60.0,143.0,8580.0,4,0,27,3,339,60,20510
1,0,0,2,1,0,1,0,0,640.0,360.0,30.0,57.0,1710.0,0,0,5,48,328,169,2215017
0,0,0,1,1,0,0,0,0,640.0,360.0,30.0,98.0,2940.0,1,0,30,53,349,143,1060077
10,0,0,2,3,2,11,0,0,560.0,314.0,30.0,406.0,12180.0,0,0,46,197,293,78,3158737
7,0,0,3,1,1,2,2,0,640.0,360.0,20.0,190.0,3800.0,3,0,70,70,321,135,1314266
13,13,4,2,1,1,0,0,0,640.0,360.0,20.0,175.0,3500.0,8,0,93,99,384,149,397863
12,0,0,2,0,3,2,2,0,560.0,314.0,30.0,452.0,13560.0,7,0,153,147,283,136,3460376
4,1,1,2,1,1,4,2,0,640.0,360.0,30.0,252.0,7560.0,3,0,55,123,367,129,3960401
1,0,0,3,1,2,1,2,0,640.0,360.0,20.0,214.0,4280.0,19,0,70,64,274,117,1769196
1,0,0,2,1,0,0,0,0,640.0,352.0,30.0,130.0,3900.0,2,0,34,101,301,111,933753
11,2,0,1,2,2,0,1,0,640.0,480.0,30.0,158.0,4740.0,0,0,60,6,173,342,13092
5,0,2,2,2,2,8,2,0,640.0,360.0,20.0,211.0,4220.0,8,0,105,6,160,124,56837
5,3,1,2,2,1,8,0,0,640.0,360.0,30.0,171.0,5130.0,0,7,61,11,288,101,80393
5,0,0,2,0,1,3,1,0,560.0,314.0,30.0,224.0,6720.0,0,0,78,0,-1,-1,0
8,0,0,1,0,0,2,1,0,560.0,420.0,30.0,98.0,2940.0,2,0,83,0,-1,-1,0
10,0,0,2,2,2,2,0,0,640.0,360.0,20.0,203.0,4060.0,1,0,72,163,194,123,2611780
7,3,5,2,0,0,3,2,0,560.0,420.0,30.0,340.0,10200.0,2,0,267,14,269,142,49188
10,4,0,2,1,1,0,0,0,560.0,374.0,30.0,176.0,5280.0,4,0,168,44,311,124,197220
2,0,0,2,1,1,0,0,0,560.0,420.0,10.0,457.0,4570.0,1,0,370,86,300,113,674628
5,2,1,2,1,0,2,0,0,640.0,480.0,30.0,88.0,2640.0,3,0,82,13,332,136,210732
